shopper_ID,county,group,event,event date
82074760,San Francisco,T,background check,9/6/19
31670374,Contra Costa,T,background check,8/31/19
31368449,Contra Costa,T,first delivery complete,11/8/19
57381213,Alameda,C,orientation,10/15/19
14801885,Santa Clara,C,card issued,9/16/19
15643986,Santa Clara,T,application,9/1/19
91212054,Contra Costa,C,application,9/7/19
42843151,Contra Costa,C,card issued,10/22/19
80418089,Santa Clara,C,card issued,10/31/19
23539079,Contra Costa,C,card issued,9/28/19
27751983,Contra Costa,T,orientation,10/7/19
62493180,Santa Clara,T,orientation,11/1/19
37405835,Alameda,C,orientation,10/30/19
82755766,Santa Clara,C,orientation,10/25/19
50183358,Contra Costa,C,orientation,11/6/19
27093988,Contra Costa,T,orientation,11/1/19
62886305,San Mateo,T,orientation,10/15/19
31621214,Alameda,C,application,9/21/19
85992038,San Mateo,T,first delivery complete,11/9/19
85855187,Alameda,T,background check,10/3/19
12509104,Alameda,C,orientation,10/5/19
17348952,San Francisco,C,application,9/7/19
58142476,Santa Clara,T,application,9/11/19
14236521,Alameda,T,orientation,10/19/19
98364997,Contra Costa,T,card issued,10/8/19
83247127,San Francisco,C,application,8/25/19
96368456,Contra Costa,C,application,9/7/19
81159704,Alameda,C,first delivery complete,10/12/19
77478014,San Mateo,T,application,9/10/19
93273286,Alameda,T,orientation,12/1/19
24979261,San Francisco,T,application,9/1/19
73812522,Alameda,C,application,9/21/19
54021762,Alameda,C,application,8/23/19
54948733,Alameda,T,card issued,9/10/19
74245918,Marin,T,card issued,9/29/19
47370034,Santa Clara,T,orientation,10/20/19
74232227,Alameda,T,card issued,10/21/19
66893332,San Mateo,T,background check,9/26/19
53667825,Santa Clara,T,first delivery complete,12/19/19
35089316,Contra Costa,T,card issued,10/30/19
43943356,Contra Costa,C,card issued,10/7/19
26255278,Alameda,T,background check,9/14/19
67522838,Marin,C,background check,10/3/19
76033555,Contra Costa,C,card issued,9/16/19
38926270,Contra Costa,C,background check,9/13/19
49981925,Marin,C,background check,9/9/19
37071712,San Francisco,T,background check,8/28/19
26425526,Santa Clara,C,application,9/16/19
